,Name,Gender,Born in,Birth,Death,Age,Movies/Series
64,Richard Roat,M,"Hartford, Connecticut, USA",3/7/1933,5/8/2022,89.0,136.0
65,Evan Rachel Wood,F,"Raleigh, North Carolina, USA",7/9/1987,Alive,35.0,63.0
66,Dascha Polanco,F,"Santo Domingo, Dominican Republic",3/12/1982,Alive,39.0,23.0
67,Mia Goth,F,"Southwark, London, England, UK",25/10/1993,Alive,28.0,18.0
68,Salma Hayek,F,"Coatzacoalcos, Veracruz, Mexico",2/9/1966,Alive,56.0,85.0
69,Aaron Taylor-Johnson,M,"High Wycombe, Buckinghamshire, England, UK",13/6/1990,Alive,32.0,49.0
70,Sian Brooke,F,"Lichfield, Staffordshire, England, UK",__/__//1980,Alive,42.0,39.0
71,Brittany Snow,F,"Tampa, Florida, USA",9/3/1986,Alive,36.0,61.0
72,Karl Urban,M,"Wellington, New Zealand",7/6/1972,Alive,50.0,52.0
73,Alexandra Turshen,F,"New York City, New York, USA",25/1/1986,Alive,36.0,42.0
74,Keanu Reeves,M,"Beirut, Lebanon",2/9/1964,Alive,58.0,108.0
75,Arden Cho,F,"Amarillo, Texas, USA",16/8/1985,Alive,37.0,41.0
76,Josh Segarra,M,"Orlando, Florida, USA",3/6/1986,Alive,36.0,40.0
77,Matt Bomer,M,"Webster Groves, Missouri, USA",11/10/1977,Alive,44.0,44.0
78,Jenna Coleman,F,"Blackpool, England, UK",27/4/1986,Alive,36.0,28.0
79,Keke Palmer,F,"Harvey, Illinois, USA",26/8/1993,Alive,29.0,104.0
80,Lenny Henry,M,"Dudley, West Midlands, England, UK",29/8/1958,Alive,64.0,62.0
81,Ryan Reynolds,M,"Vancouver, British Columbia, Canada",23/10/1976,Alive,45.0,119.0
82,Taron Egerton,M,"Birkenhead, Cheshire, England, UK",10/11/1989,Alive,32.0,29.0
83,Kat Graham,F,"Geneva, Switzerland",5/9/1989,Alive,33.0,48.0
84,Michael Wincott,M,"Toronto, Ontario, Canada",21/1/1958,Alive,64.0,66.0
85,Maisie Williams,F,"Bristol, England, UK",15/4/1997,Alive,25.0,34.0
86,Tom Hanks,M,"Concord, California, USA",9/7/1956,Alive,66.0,93.0
87,Ginger Gonzaga,F,,,,,70.0
88,Alexander Skarsgård,M,"Stockholm, Stockholms län, Sweden",25/8/1976,Alive,46.0,70.0
89,Tom Hardy,M,"Hammersmith, London, England, UK",15/9/1977,Alive,44.0,61.0
90,Mckenna Grace,F,"Grapevine, Texas, USA",25/6/2006,Alive,16.0,69.0
91,Sofia Boutella,F,"Bab El Oued, Algeria",3/4/1982,Alive,40.0,31.0
92,Lewis Pullman,M,"Los Angeles, California, USA",29/1/1993,Alive,29.0,27.0
93,Antony Starr,M,New Zealand,25/10/1975,Alive,46.0,33.0
94,Lily James,F,"Esher, Surrey, England, UK",5/4/1989,Alive,33.0,35.0
95,Jamie Clayton,F,"San Diego, California, USA",15/1/1978,Alive,44.0,19.0
96,Cameron Diaz,F,"San Diego, California, USA",30/8/1972,Alive,50.0,60.0
97,Jonathan Tucker,M,"Boston, Massachusetts, USA",31/5/1982,Alive,40.0,60.0
98,Alexa PenaVega,F,"Miami, Florida, USA",27/8/1988,Alive,34.0,99.0
99,Natasia Demetriou,F,,,,,33.0
100,Daniel Radcliffe,M,"Fulham, London, England, UK",23/7/1989,Alive,33.0,43.0
101,Anya Taylor-Joy,F,"Miami, Florida, USA",16/4/1996,Alive,26.0,32.0
102,Adrianne Palicki,F,"Toledo, Ohio, USA",6/5/1983,Alive,39.0,46.0
103,Henry Cavill,M,"Jersey, Channel Islands",5/5/1983,Alive,39.0,31.0
104,Kelly Reilly,F,"Surrey, England, UK",18/7/1977,Alive,45.0,54.0
105,Daniel Sunjata,M,"Evanston, Illinois, USA",30/12/1971,Alive,50.0,47.0
106,Nicolas Cage,M,"Long Beach, California, USA",7/1/1964,Alive,58.0,108.0
107,Hayley Sales,F,"Washington, District of Columbia, USA",31/8/1990,Alive,32.0,35.0
108,Nathalie Emmanuel,F,"Southend-on-Sea, Essex, England, UK",2/3/1989,Alive,33.0,31.0
109,Emily Hampshire,F,"Montreal, Quebec, Canada",29/8/1981,Alive,41.0,92.0
110,Tim Roth,M,"Dulwich, London, England, UK",14/5/1961,Alive,61.0,113.0
111,Steve Carell,M,"Concord, Massachusetts, USA",16/8/1962,Alive,60.0,83.0
112,Johnny Depp,M,"Owensboro, Kentucky, USA",9/6/1963,Alive,59.0,102.0
113,Joseph Quinn,M,"London, England, UK",15/5/1993,Alive,29.0,17.0
114,Dacre Montgomery,M,"Perth, Western Australia, Australia",22/11/1994,Alive,27.0,12.0
115,Tom Holland,M,"Kingston upon Thames, England, UK",1/6/1996,Alive,26.0,37.0
116,Rhea Seehorn,F,"Norfolk, Virginia, USA",12/5/1972,Alive,50.0,47.0
117,Lara Pulver,F,"Southend-on-Sea, Essex, England, UK",1/9/1980,Alive,42.0,28.0
118,Halston Sage,F,"Los Angeles, California, USA",10/5/1993,Alive,29.0,26.0
119,Rob McElhenney,M,"Philadelphia, Pennsylvania, USA",14/4/1977,Alive,45.0,22.0
120,Daniel Weyman,M,"Newcastle, Tyne and Wear, England, UK",__/__//1977,Alive,45.0,29.0
121,Paul Walter Hauser,M,"Grand Rapids, Michigan, USA",15/10/1986,Alive,35.0,49.0
122,Sandra Bullock,F,"Arlington, Virginia, USA",26/7/1964,Alive,58.0,59.0
123,Laura Hopper,F,,,,,10.0
124,Cate Blanchett,F,"Melbourne, Victoria, Australia",14/5/1969,Alive,53.0,93.0
125,Shania Twain,F,"Windsor, Ontario, Canada",28/8/1965,Alive,57.0,41.0
126,Ryan Gosling,M,"London, Ontario, Canada",12/11/1980,Alive,41.0,49.0
127,Riley Dandy,F,,,,,16.0
128,Annabelle Wallis,F,"Oxford, Oxfordshire, England, UK",5/9/1984,Alive,38.0,37.0
129,Jen Landon,F,"Malibu, California, USA",29/8/1983,Alive,39.0,25.0
130,Cillian Murphy,M,"Douglas, Cork, Ireland",25/5/1976,Alive,46.0,59.0
131,Alexandra Daddario,F,"New York City, New York, USA",16/3/1986,Alive,36.0,62.0
132,Eve Torres,F,"Denver, Colorado, USA",21/8/1984,Alive,38.0,19.0
133,Peggy Lipton,F,"Manhattan, New York City, New York, USA",30/8/1946,11/5/2019,72.0,50.0
134,Jamie Campbell Bower,M,"London, England, UK",22/11/1988,Alive,33.0,26.0
135,Kevin Durand,M,"Thunder Bay, Ontario, Canada",14/1/1974,Alive,48.0,79.0
136,Bob Odenkirk,M,"Naperville, Illinois, USA",22/10/1962,Alive,59.0,123.0
137,Timothée Chalamet,M,"New York City, New York, USA",27/12/1995,Alive,26.0,32.0
138,Cara Delevingne,F,"London, England, UK",12/8/1992,Alive,30.0,31.0
139,Laura Ashley Samuels,F,"Dallas, Texas, USA",29/8/1990,Alive,32.0,21.0
140,Anthony Edwards,M,"Santa Barbara, California, USA",19/7/1962,Alive,60.0,64.0
141,Erin Moriarty,F,"New York City, New York, USA",24/6/1994,Alive,28.0,28.0
142,Sylvia Hoeks,F,"Maarheeze, Noord-Brabant, Netherlands",1/6/1983,Alive,39.0,43.0
143,Idris Elba,M,"Hackney, London, England, UK",6/9/1972,Alive,50.0,107.0
144,Yara Martinez,F,Puerto Rico,31/8/1979,Alive,43.0,35.0
145,Gwendoline Christie,F,"Worthing, Sussex, England, UK",28/10/1978,Alive,43.0,28.0
146,Juno Temple,F,"London, England, UK",21/7/1989,Alive,33.0,63.0
147,Selena Gomez,F,"Grand Prairie, Texas, USA",22/7/1992,Alive,30.0,117.0
148,Margot Robbie,F,"Dalby, Queensland, Australia",2/7/1990,Alive,32.0,40.0
149,Jeremy Allen White,M,"Brooklyn, New York, USA",17/2/1991,Alive,31.0,26.0
150,Jack Gleeson,M,"Cork, Ireland",20/5/1992,Alive,30.0,13.0
151,Nolan Gerard Funk,M,"Vancouver, British Columbia, Canada",28/7/1986,Alive,36.0,61.0
152,Merritt Patterson,F,"Whistler, British Columbia, Canada",2/9/1990,Alive,32.0,35.0
153,Alexandra Breckenridge,F,"Bridgeport, Connecticut, USA",15/5/1982,Alive,40.0,60.0
154,Bryce Dallas Howard,F,"Los Angeles, California, USA",2/3/1981,Alive,41.0,43.0
155,Jensen Ackles,M,"Dallas, Texas, USA",1/3/1978,Alive,44.0,33.0
156,Sugar Lyn Beard,F,"Scarborough, Ontario, Canada",27/8/1981,Alive,41.0,54.0
157,Clint Eastwood,M,"San Francisco, California, USA",31/5/1930,Alive,92.0,72.0
158,Rebecca De Mornay,F,"Santa Rosa, California, USA",29/8/1959,Alive,63.0,62.0
159,Sarah Roemer,F,"San Diego, California, USA",28/8/1984,Alive,38.0,20.0
160,Shantel VanSanten,F,"Luverne, Minnesota, USA",25/7/1985,Alive,37.0,30.0
161,Darren Barnet,M,"Los Angeles, California, USA",27/4/1991,Alive,31.0,26.0
162,Peter Mullan,M,"Peterhead, Scotland, UK",2/11/1959,Alive,62.0,97.0
163,Quentin Tarantino,M,"Knoxville, Tennessee, USA",27/3/1963,Alive,59.0,39.0
164,Abbi Jacobson,F,"Wayne, Pennsylvania, USA",1/2/1984,Alive,38.0,38.0
165,Rebecca Ferguson,F,Sweden,19/10/1983,Alive,38.0,34.0
166,Anne Heche,F,"Aurora, Ohio, USA",25/5/1969,11/8/2022,53.0,93.0
167,Lena Headey,F,"Hamilton, Bermuda",3/10/1973,Alive,48.0,93.0
168,Holliday Grainger,F,"Didsbury, Manchester, England, UK",27/3/1988,Alive,34.0,59.0
169,Jennifer Lawrence,F,"Louisville, Kentucky, USA",15/8/1990,Alive,32.0,34.0
170,Luke Macfarlane,M,"London, Ontario, Canada",19/1/1980,Alive,42.0,35.0
171,Daisy Edgar-Jones,F,"Islington, London, England, UK",24/5/1998,Alive,24.0,12.0
172,Jameela Jamil,F,"Hampstead, London, England, UK",25/2/1986,Alive,36.0,20.0
173,Lee Pace,M,"Chickasha, Oklahoma, USA",25/3/1979,Alive,43.0,39.0
174,Aubrey Plaza,F,"Wilmington, Delaware, USA",26/6/1984,Alive,38.0,86.0
175,Chris Evans,M,"Boston, Massachusetts, USA",13/6/1981,Alive,41.0,58.0
176,Jason Momoa,M,"Honolulu, Hawaii, USA",1/8/1979,Alive,43.0,41.0
177,Jonathan Banks,M,"Washington, District of Columbia, USA",31/1/1947,Alive,75.0,179.0
178,Alicia Vikander,F,"Gothenburg, Västra Götalands län, Sweden",3/10/1988,Alive,33.0,47.0
179,Taika Waititi,M,"Wellington, New Zealand",16/8/1975,Alive,47.0,44.0
180,Evangeline Lilly,F,"Fort Saskatchewan, Alberta, Canada",3/8/1979,Alive,43.0,24.0
181,Sadie Sink,F,"Brenham, Texas, USA",16/4/2002,Alive,20.0,16.0
182,Taylor Kitsch,M,"Kelowna, British Columbia, Canada",8/4/1981,Alive,41.0,29.0
183,Jennette McCurdy,F,"Los Angeles, California, USA",26/6/1992,Alive,30.0,68.0
184,Natalie Dormer,F,"Reading, Berkshire, England, UK",11/2/1982,Alive,40.0,40.0
185,Jon Bernthal,M,"Washington, District of Columbia, USA",20/9/1976,Alive,45.0,72.0
186,Dichen Lachman,F,"Kathmandu, Nepal",22/2/1982,Alive,40.0,40.0
187,Natalia Dyer,F,"Nashville, Tennessee, USA",13/1/1995,Alive,27.0,23.0
188,Lala Kent,F,"Salt Lake City, Utah, USA",2/9/1990,Alive,32.0,16.0
189,Cole Hauser,M,"Santa Barbara, California, USA",22/3/1975,Alive,47.0,53.0
190,Rhona Mitra,F,"Paddington, London, England, UK",9/8/1976,Alive,46.0,48.0
191,Sofia Carson,F,"Fort Lauderdale, Florida, USA",10/4/1993,Alive,29.0,60.0
192,Bruce Willis,M,"Idar-Oberstein, West Germany",19/3/1955,Alive,67.0,147.0
193,Viggo Mortensen,M,"Manhattan, New York City, New York, USA",20/10/1958,Alive,63.0,64.0
194,Rachel McAdams,F,"London, Ontario, Canada",17/11/1978,Alive,43.0,41.0
195,Kelly Macdonald,F,"Glasgow, Scotland, UK",23/2/1976,Alive,46.0,58.0
196,Jessica Szohr,F,"Milwaukee, Wisconsin, USA",31/3/1985,Alive,37.0,43.0
197,Jella Haase,F,"Berlin, Germany",27/10/1992,Alive,29.0,51.0
198,Aaron Paul,M,"Emmett, Idaho, USA",27/8/1979,Alive,43.0,81.0
199,Rob Heaps,M,,,,,13.0
200,Raffey Cassidy,F,"East Anglia, England, UK",30/8/2002,Alive,20.0,21.0
201,George MacKay,M,"London, England, UK",13/3/1992,Alive,30.0,50.0
202,Bebe Rexha,F,"Brooklyn, New York City, New York, USA",30/8/1989,Alive,33.0,37.0
203,Elliot Page,M,"Halifax, Nova Scotia, Canada",21/2/1987,Alive,35.0,52.0
204,Sophia Ali,F,"San Diego, California, USA",7/11/1995,Alive,26.0,33.0
205,Regina Hall,F,"Washington, District of Columbia, USA",12/12/1970,Alive,51.0,60.0
206,Daniel Kaluuya,M,"London, England, UK",24/2/1989,Alive,33.0,47.0
207,Sophie Turner,F,"Northampton, Northamptonshire, England, UK",21/2/1996,Alive,26.0,22.0
208,Christian Bale,M,"Haverfordwest, Pembrokeshire, Wales, UK",30/1/1974,Alive,48.0,55.0
209,Luis Gerardo Méndez,M,"Aguascalientes, Aguascalientes, Mexico",12/3/1982,Alive,40.0,56.0
210,Teresa Ruiz,F,1988,21/12/1988,Alive,33.0,26.0
211,Virginia Gardner,F,"Sacramento, California, USA",18/4/1995,Alive,27.0,27.0
212,Colin Farrell,M,"Castleknock, Dublin, Ireland",31/5/1976,Alive,46.0,65.0
213,Robert Davi,M,"Astoria, Queens, New York City, New York, USA",26/6/1951,Alive,71.0,171.0
214,Rosamund Pike,F,"Hammersmith, London, England, UK",__/1/1979,Alive,43.0,58.0
215,Tuesday Weld,F,"New York City, New York, USA",27/8/1943,Alive,79.0,64.0
216,Chris Pratt,M,"Virginia, Minnesota, USA",21/6/1979,Alive,43.0,68.0
217,Natalie Portman,F,"Jerusalem, Israel",9/6/1981,Alive,41.0,70.0
218,Scarlett Johansson,F,"Manhattan, New York City, New York, USA",22/11/1984,Alive,37.0,75.0
219,Jon Hamm,M,"St. Louis, Missouri, USA",10/3/1971,Alive,51.0,115.0
220,Natasha Liu Bordizzo,F,"Sydney, New South Wales, Australia",25/8/1994,Alive,28.0,16.0
221,Meagan Good,F,"Panorama City, California, USA",8/8/1981,Alive,41.0,84.0
222,Michelle DeShon,F,,,,,11.0
223,Ewan McGregor,M,"Perth, Perthshire, Scotland, UK",31/3/1971,Alive,51.0,97.0
224,Olivia DeJonge,F,"Melbourne, Victoria, Australia",30/4/1998,Alive,24.0,17.0
225,Aidan Turner,M,"Dublin, Ireland",19/6/1983,Alive,39.0,25.0
226,Dwayne Johnson,M,"Hayward, California, USA",2/5/1972,Alive,50.0,103.0
227,Hunter Schafer,F,"Trenton, New Jersey, USA",31/12/1999,Alive,22.0,4.0
228,Barbara Bach,F,"Queens, New York City, New York, USA",28/8/1946,Alive,76.0,25.0
229,Zoey Deutch,F,"Los Angeles, California, USA",10/11/1994,Alive,27.0,36.0
230,Winona Ryder,F,"Winona, Minnesota, USA",29/10/1971,Alive,50.0,68.0
231,Samantha Morton,F,"Nottingham, Nottinghamshire, England, UK",13/5/1977,Alive,45.0,61.0
232,Jesse Plemons,M,"Dallas, Texas, USA",2/4/1988,Alive,34.0,63.0
233,Christina Ricci,F,"Santa Monica, California, USA",12/2/1980,Alive,42.0,90.0
234,Jennifer Coolidge,F,"Boston, Massachusetts, USA",28/8/1961,Alive,61.0,125.0
235,Jodie Comer,F,"Liverpool, Merseyside, England, UK",11/3/1993,Alive,29.0,34.0
236,Dove Cameron,F,"Bainbridge Island, Washington, USA",15/1/1996,Alive,26.0,72.0
237,Katheryn Winnick,F,"Toronto, Ontario, Canada",17/12/1977,Alive,44.0,66.0
238,Mary Elizabeth Winstead,F,"Rocky Mount, North Carolina, USA",28/11/1984,Alive,37.0,58.0
239,Amy Adams,F,"Vicenza, Veneto, Italy",20/8/1974,Alive,48.0,66.0
240,Eve Hewson,F,Ireland,7/7/1991,Alive,31.0,19.0
241,Karla Souza,F,"Mexico City, Distrito Federal, Mexico",11/12/1985,Alive,36.0,29.0
242,John Krasinski,M,"Newton, Massachusetts, USA",20/10/1979,Alive,42.0,53.0
243,Annette O'Toole,F,"Houston, Texas, USA",1/4/1952,Alive,70.0,97.0
244,Maya Hawke,F,"New York City, New York, USA",8/7/1998,Alive,24.0,28.0
245,Sarah Chalke,F,"Ottawa, Ontario, Canada",27/8/1976,Alive,46.0,77.0
246,Blake Lively,F,"Los Angeles, California, USA",25/8/1987,Alive,35.0,28.0
247,Thomas Doherty,M,"Edinburgh, Scotland, UK",21/4/1995,Alive,27.0,17.0
248,Emily Blunt,F,"Roehampton, London, England, UK",23/2/1983,Alive,39.0,50.0
249,Peter Stormare,M,"Kumla, Örebro län, Sweden",27/8/1953,Alive,69.0,205.0
250,Britt Lower,F,"Illinois, USA",2/8/1985,Alive,37.0,50.0
251,Meg Ryan,F,"Fairfield, Connecticut, USA",19/11/1961,Alive,60.0,51.0
252,Tahj Mowry,M,"Honolulu, Hawaii, USA",17/5/1986,Alive,36.0,44.0
253,Alexis Raben,F,"Moscow, RSFSR, USSR [now Russia]",25/8/1980,Alive,42.0,17.0
254,Charles Edwards,M,"Haslemere, Surrey, England, UK",1/10/1969,Alive,52.0,43.0
255,Charlize Theron,F,"Benoni, Transvaal, South Africa",7/8/1975,Alive,47.0,70.0
256,Alice Eve,F,"London, England, UK",6/2/1982,Alive,40.0,51.0
257,Julia Stiles,F,"New York City, New York, USA",28/3/1981,Alive,41.0,63.0
258,Zazie Beetz,F,"Mitte, Berlin, Germany",1/6/1991,Alive,31.0,40.0
259,Karen Gillan,F,"Inverness, Scotland, UK",28/11/1987,Alive,34.0,71.0
260,Emilia Jones,F,"London, England, UK",23/2/2002,Alive,20.0,22.0
261,Leem Lubany,F,"Nazareth, Israel",31/8/1997,Alive,25.0,7.0
262,Kit Harington,M,"London, England, UK",26/12/1986,Alive,35.0,24.0
263,Jessica Chastain,F,"Sacramento, California, USA",24/3/1977,Alive,45.0,60.0
264,Bryan Cranston,M,"Hollywood, California, USA",7/3/1956,Alive,66.0,167.0
265,Stevie Lynn Jones,F,"Hollywood, California, USA",22/10/1995,Alive,26.0,26.0
266,David Thewlis,M,"Blackpool, Lancashire, England, UK",20/3/1963,Alive,59.0,104.0
267,Ethan Hawke,M,"Austin, Texas, USA",6/11/1970,Alive,51.0,97.0
268,Adam Sandler,M,"Brooklyn, New York City, New York, USA",9/9/1966,Alive,55.0,83.0
269,Ben Affleck,M,"Berkeley, California, USA",15/8/1972,Alive,50.0,83.0
270,Hannah Waddingham,F,"London, England, UK",28/7/1974,Alive,48.0,37.0
271,Kayla Ewell,F,"Long Beach, California, USA",27/8/1985,Alive,37.0,44.0
272,Marilyn Monroe,F,"Los Angeles, California, USA",1/6/1926,5/8/1962,36.0,33.0
273,Owain Arthur,M,"Rhiwlas, Wales, UK",5/3/1983,Alive,39.0,22.0
274,Alison Brie,F,"Hollywood, Los Angeles, California, USA",29/12/1982,Alive,39.0,76.0
275,Yvonne De Carlo,F,"Vancouver, British Columbia, Canada",1/9/1922,8/1/2007,84.0,123.0
276,Chanel West Coast,F,"Los Angeles, California, USA",1/9/1988,Alive,34.0,8.0
277,Rose Leslie,F,"Aberdeen, Scotland, UK",9/2/1987,Alive,35.0,22.0
278,Jack Quaid,M,"Los Angeles, California, USA",24/4/1992,Alive,30.0,49.0
279,John Amos,M,"Newark, New Jersey, USA",27/12/1939,Alive,82.0,119.0
280,Charlotte Ritchie,F,"Westminster, London, England, UK",29/8/1989,Alive,33.0,38.0
281,Kirby Howell-Baptiste,F,,,,,61.0
282,Oscar Isaac,M,"Guatemala City, Guatemala",9/3/1979,Alive,43.0,62.0
283,Bailee Madison,F,"Fort Lauderdale, Florida, USA",15/10/1999,Alive,22.0,58.0
284,Richard Armitage,M,"Leicester, Leicestershire, England, UK",22/8/1971,Alive,51.0,57.0
285,Elizabeth Olsen,F,"Los Angeles, California, USA",16/2/1989,Alive,33.0,26.0
286,Chris Pine,M,"Los Angeles, California, USA",26/8/1980,Alive,42.0,62.0
287,Will Poulter,M,"England, UK",28/1/1993,Alive,29.0,29.0
288,Patton Oswalt,M,"Portsmouth, Virginia, USA",27/1/1969,Alive,53.0,235.0
289,Maitreyi Ramakrishnan,F,"Mississauga, Ontario, Canada",29/12/2001,Alive,20.0,7.0
290,Razane Jammal,F,"Beirut, Lebanon",,,,20.0
291,Jean Louisa Kelly,F,"Worcester, Massachusetts, USA",9/3/1972,Alive,50.0,59.0
292,Vera Farmiga,F,"Clifton, New Jersey, USA",6/8/1973,Alive,49.0,64.0
293,Carly Pope,F,"Vancouver, British Columbia, Canada",28/8/1980,Alive,42.0,93.0
294,Robert De Niro,M,"New York City, New York, USA",17/8/1943,Alive,79.0,128.0
295,Isabel May,F,"Santa Monica, California, USA",21/11/2000,Alive,21.0,9.0
296,Matthew McConaughey,M,"Uvalde, Texas, USA",4/11/1969,Alive,52.0,75.0
297,Marin Ireland,F,"Camarillo, California, USA",30/8/1979,Alive,43.0,74.0
298,Morena Baccarin,F,"Rio de Janeiro, Rio de Janeiro, Brazil",2/6/1979,Alive,43.0,59.0
299,Cristin Milioti,F,"Cherry Hill, New Jersey, USA",16/8/1985,Alive,37.0,36.0
300,Julia Garner,F,"Bronx, New York City, New York, USA",1/2/1994,Alive,28.0,35.0
301,Anne Winters,F,"Dallas, Texas, USA",3/6/1994,Alive,28.0,26.0
302,Emily Deschanel,F,"Los Angeles, California, USA",11/10/1976,Alive,45.0,34.0
303,Elvis Presley,M,"Tupelo, Mississippi, USA",8/1/1935,16/8/1977,42.0,31.0
304,Tilda Swinton,F,"London, England, UK",5/11/1960,Alive,61.0,99.0
305,Patrick Warburton,M,"Paterson, New Jersey, USA",14/11/1964,Alive,57.0,186.0
306,Denzel Washington,M,"Mount Vernon, New York, USA",28/12/1954,Alive,67.0,61.0
307,Ali Stroker,F,"Ridgewood, New Jersey, USA",16/6/1987,Alive,35.0,22.0
